Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,-0.20187388323495148,-0.2009817132062104,-0.2003265397878029,-0.1998634112716322,-0.20042636958951043,-0.20283198006655198,-0.2027053780913969,-0.20266184936991866,-0.20325465635373594,-0.20478579873077368,-0.23217854617704564,-0.2337041444876357,-0.23370386367992818,-0.23400640324455596,-0.2364940387646315,-0.2399367365236508,-0.24040046396618742,-0.24226432935307532,-0.24139845625842715,-0.24188740927515096,-0.24514564325697347,-0.24556111711487846,-0.24715143749927942,-0.24603985009552123,-0.24580435068272588,-0.2462406260523116,-0.25420189794239795,-0.25471628679547487,-0.25435424405967755,-0.259290956262371,-0.26011457805819127,-0.2603790118022781,-0.260090047703077,-0.26083002775557196,-0.26066759150655544,-0.26111046639640934,-0.262157727881439,-0.26273982782203353,-0.26264644337732007,-0.26259190346885436,-0.26340557361457795,-0.2645158356760391,-0.26584592855673295,-0.26752454913064955,-0.26951956120551585,-0.27147441362529406,-0.27388904688838644,-0.2767053015812288,-0.27924718608826954,-0.2821575362404328,-0.2841333139292231,-0.28580108293817774,-0.2871389862812242,-0.2883705332589473,-0.28931997845943647,-0.28982309288647734,-0.29069628138586157,-0.2914267810388634,-0.29203580857532657,-0.29255600407199284,-0.2929976700592848,-0.29320143251110786,-0.2940418063598365
Africa Eastern and Southern,AFE,-0.09491352576394788,-0.09825917944659383,-0.09439166888368135,-0.09444640692522349,-0.09720359793709882,-0.09599192899390768,-0.09713626753556887,-0.09476617844149884,-0.09788003847643235,-0.09936229705215881,-0.12990886830644793,-0.1292169065136508,-0.13325153806541049,-0.13554771541405322,-0.13274068473442105,-0.13503544921080843,-0.13829086262296014,-0.14016456674627464,-0.14307506309175544,-0.14481945827468784,-0.1423346018810365,-0.13931020492314877,-0.1396305060220492,-0.1413213166537957,-0.14244387380198867,-0.14672338614628078,-0.1475726479530386,-0.14751370533965824,-0.1477773904181941,-0.15361175537769645,-0.15731374833118938,-0.15875543686190205,-0.16249254816531977,-0.16521175456376225,-0.16626130983268556,-0.16538917189127494,-0.16446167603003237,-0.16444698541086536,-0.1653705586261777,-0.16614896192426107,-0.16793518285712172,-0.16738710605593635,-0.16691816933261616,-0.1682657068634148,-0.16891870403808112,-0.16847618241652054,-0.16843659198547858,-0.16863734709310998,-0.1684522853574443,-0.16866861528389415,-0.16971803236247957,-0.17083584985141942,-0.17411984277942097,-0.17373881890609041,-0.17360140489022843,-0.17425383483697934,-0.17579645261492496,-0.17755486667330683,-0.1791217639723744,-0.18034723981862602,-0.18061866122384587,-0.1830408540174384,-0.18346293070142639
Afghanistan,AFG,-0.20187388323495148,-0.2009817132062104,-0.2003265397878029,-0.1998634112716322,-0.20042636958951043,-0.20283198006655198,-0.2027053780913969,-0.20266184936991866,-0.20325465635373594,-0.20478579873077368,-0.23217854617704564,-0.2337041444876357,-0.23370386367992818,-0.23400640324455596,-0.2364940387646315,-0.2399367365236508,-0.24040046396618742,-0.24226432935307532,-0.24139845625842715,-0.24188740927515096,-0.24514564325697347,-0.24556111711487846,-0.24715143749927942,-0.24603985009552123,-0.24580435068272588,-0.2462406260523116,-0.24705665637599458,-0.24753956762346424,-0.24731147100629605,-0.2518993459508193,-0.2531790412455548,-0.25343197521091404,-0.2534086609802988,-0.25413862586229674,-0.2540291172877629,-0.25489910372872543,-0.2559755364252386,-0.2569209001103069,-0.25667987256616426,-0.2564202001329478,-0.2577307197088695,-0.2589024944669584,-0.2650512556316432,-0.2666447576868043,-0.2686908389969575,-0.2705276402621445,-0.2729108799121404,-0.2755853461166751,-0.27809373809872445,-0.28057281538470896,-0.28232598407943016,-0.2840538526262441,-0.28516549579070655,-0.28634527667531773,-0.28728437598783546,-0.2878125440382998,-0.2886946648660739,-0.2894568459471701,-0.2901116175700028,-0.2905864478921897,-0.2909382781184279,-0.29179297687569156,-0.28726144913115315
Africa Western and Central,AFW,-0.13588131379523027,-0.13642593534004427,-0.13689213424256902,-0.1351983086696349,-0.13654246691370642,-0.1362524493618415,-0.14123959337002107,-0.1505687647694577,-0.15434242077551547,-0.14933424080464597,-0.16961934714775775,-0.16536965342314405,-0.1674791943458777,-0.1693526784372191,-0.16454942477451281,-0.17068262260952383,-0.16855475248072443,-0.16669038890981422,-0.1715651391172719,-0.17104792037655325,-0.17230116432358486,-0.17926565186176324,-0.1826688316465043,-0.18816170339354507,-0.19011973602579058,-0.18877336234123612,-0.18978465069793427,-0.1917024881934734,-0.19121334379729413,-0.19707594534830905,-0.19557607271222824,-0.19596923457272367,-0.19526230302402187,-0.19783374427917805,-0.19986569785082625,-0.20090127654001308,-0.20118183441343127,-0.20150589129899646,-0.20106887390940445,-0.20227854732047168,-0.20348500131219488,-0.20262581156292886,-0.19913780663930247,-0.19900100380509156,-0.19843396097222338,-0.19889702366778544,-0.20041768240167077,-0.2021704023886871,-0.20139023304043882,-0.19790915044485224,-0.19771824710079441,-0.198005540739584,-0.19717128022552513,-0.19545840050532381,-0.1937854177971243,-0.1945504319469471,-0.19790715106169757,-0.19972794823139628,-0.20079871611208036,-0.20085071305356825,-0.1993751621767856,-0.20172347835313964,-0.20192518143867177
Angola,AGO,-0.20187388323495148,-0.2009817132062104,-0.2003265397878029,-0.1998634112716322,-0.20042636958951043,-0.20283198006655198,-0.2027053780913969,-0.20266184936991866,-0.20325465635373594,-0.20478579873077368,-0.23217854617704564,-0.2337041444876357,-0.23370386367992818,-0.23400640324455596,-0.2364940387646315,-0.2399367365236508,-0.24040046396618742,-0.24226432935307532,-0.24139845625842715,-0.24188740927515096,-0.24877219042691895,-0.24884315528094864,-0.24946507971433074,-0.24815553373954055,-0.2473543557659222,-0.24717811898921577,-0.24702063645105235,-0.24753956762346424,-0.24711170557130946,-0.2523508770209066,-0.2536233711785462,-0.25393420194161903,-0.2541919060047683,-0.2565592957942508,-0.2565086792358501,-0.2564020899251885,-0.256924244575658,-0.25732988229870574,-0.2571297525495445,-0.2571433579941742,-0.2580479425733035,-0.2590349161012657,-0.259666917764779,-0.2613231461986323,-0.2628930762331186,-0.2640467571628947,-0.26588178213215324,-0.26787966284968084,-0.26956277285756236,-0.2721623059581559,-0.2741027216092144,-0.2757443258549835,-0.2764650285567383,-0.2774723739228115,-0.278209475116779,-0.2789402172447682,-0.28039999538804894,-0.2815170772038955,-0.28258804957569517,-0.283415096379283,-0.284049326490699,-0.28475496848576815,-0.2856174925518977
Albania,ALB,-0.20187388323495148,-0.2009817132062104,-0.2003265397878029,-0.1998634112716322,-0.20042636958951043,-0.20283198006655198,-0.2027053780913969,-0.20266184936991866,-0.20325465635373594,-0.20478579873077368,-0.23217854617704564,-0.2337041444876357,-0.23370386367992818,-0.23400640324455596,-0.2364940387646315,-0.2399367365236508,-0.24040046396618742,-0.24226432935307532,-0.24139845625842715,-0.24188740927515096,-0.2550272516948919,-0.2545510387432374,-0.2551090345787295,-0.25393152841708627,-0.2533163936260091,-0.2531543112948764,-0.2529342635838857,-0.25355171314476405,-0.25332099604404107,-0.2582053885541793,-0.2592135660191373,-0.259886462902689,-0.2596988276090004,-0.2603979516981967,-0.2602139470499178,-0.26055757579959915,-0.26153514562582086,-0.26229170864204054,-0.26213846075908753,-0.26198081236262927,-0.2627826791216579,-0.26383292083744697,-0.2651182944167108,-0.26675550899656136,-0.26874869988987515,-0.27066050341282716,-0.2730384608285436,-0.2758253805808257,-0.2782911704495091,-0.2810795662091569,-0.2830353494234308,-0.2847133493438037,-0.28605446340645807,-0.28732480523636544,-0.28827414167211834,-0.28877575968139835,-0.28963815111405095,-0.29037681959479533,-0.29097318826412394,-0.2914837174086006,-0.2918544058053045,-0.29207955166581673,-0.29291810429263954
Andorra,AND,-0.20187388323495148,-0.2009817132062104,-0.2003265397878029,-0.1998634112716322,-0.20042636958951043,-0.20283198006655198,-0.2027053780913969,-0.20266184936991866,-0.20325465635373594,-0.20478579873077368,-0.24791815053868388,-0.24880576564425047,-0.24906710960801087,-0.24935242583961212,-0.2514254164944304,-0.2553094092066789,-0.25594634640761676,-0.2547369906314973,-0.2541764835478921,-0.2545988148789197,-0.25619042342295295,-0.25578146605472035,-0.25637917649663017,-0.25517903814943593,-0.25448107835707595,-0.25429532368213553,-0.254110366532498,-0.25465356025274544,-0.25433475608013006,-0.25929809701830275,-0.2601225118542366,-0.26040934294740004,-0.2601416376693591,-0.26091814029607086,-0.26078241842967564,-0.26122405776908947,-0.26225569800716064,-0.2628330790595119,-0.2627339446894899,-0.2626658089421364,-0.2634983956667821,-0.26459452696641883,-0.26589830220564703,-0.2675423628313254,-0.2695340121334449,-0.27146031636227486,-0.27385731891528203,-0.2766814449877201,-0.27925973649404395,-0.28213865183241993,-0.2841124521532926,-0.2857939616436315,-0.28714774984399943,-0.288416285110591,-0.28934959953148354,-0.2898446047183416,-0.29071085014307996,-0.2914645125415568,-0.29207578532435824,-0.29258001318325616,-0.2929728113091581,-0.29322671990827753,-0.2940738552989673
Arab World,ARB,-0.20187388323495148,-0.2009817132062104,-0.2003265397878029,-0.1998634112716322,-0.20042636958951043,-0.20283198006655198,-0.2027053780913969,-0.20266184936991866,-0.20325465635373594,-0.20478579873077368,-0.23217854617704564,-0.2337041444876357,-0.23370386367992818,-0.23400640324455596,-0.2364940387646315,-0.02115359138648713,0.001859472151147731,0.013508540490328461,0.0016431641894842043,0.018440441821180275,0.03699574095512485,0.041516682127651736,0.015529868066838998,-0.006911187004701688,-0.014188737830039318,-0.027290096095734736,-0.02470902993912216,-0.033490171486650656,-0.030652590809450504,-0.038855161821041505,-0.019632187659000308,-0.017166800782098954,-0.009404127115160414,-0.006395832995253151,-0.006070247763122694,-0.006273138050734694,-0.0038783031592576774,-0.002133992651798975,0.003506136191045674,-0.0007748840818324616,0.003946327986514508,0.002505932035170589,-0.0023258637472727086,0.0015089140885561664,0.011730926561305978,0.014709239465038696,0.017817139443894507,0.0164563773305139,0.024774369332598273,0.02822169501233513,0.02740193724670373,0.026414119160945253,0.031500792843968964,0.02986948940795362,0.02703080682653846,0.02756705650813909,0.02938634992061031,0.021694286159150183,0.01828949872039376,0.013743524836674148,0.006530641606127536,-0.0010851316452527508,0.006598193355176998
United Arab Emirates,ARE,-0.20187388323495148,-0.2009817132062104,-0.2003265397878029,-0.1998634112716322,-0.20042636958951043,-0.20283198006655198,-0.2027053780913969,-0.20266184936991866,-0.20325465635373594,-0.20478579873077368,-0.23217854617704564,-0.2337041444876357,-0.23370386367992818,-0.23400640324455596,-0.2364940387646315,-0.23225481002996123,-0.23033892748161092,-0.22474754605607727,-0.22587347980661368,-0.22162143288870825,-0.21590880120999337,-0.21441239980123813,-0.2179287073130993,-0.2195491410254693,-0.21907704722272434,-0.2214056436845194,-0.2270975111804944,-0.22771799939781648,-0.22928361121783447,-0.23214111224170086,-0.22879274800531113,-0.2292124322721473,-0.22852541849102823,-0.22939926462268848,-0.2281361851854455,-0.22737076359993819,-0.22759696944959154,-0.22671043176471087,-0.2275443906379403,-0.2277004555894964,-0.22633475798570987,-0.22762831042327386,-0.22880776520839324,-0.22827582184583328,-0.22820250770407866,-0.22966859036621784,-0.22974659148589985,-0.23292304228532448,-0.23484776572719993,-0.23933702294921508,-0.24241644888566477,-0.2428568533051539,-0.2445187957068954,-0.24479624916715761,-0.2452516130491554,-0.24415581890745602,-0.2437958664038883,-0.2457942454006961,-0.24731100439705847,-0.2485104183147977,-0.24982477134446146,-0.2508961815253628,-0.24976253485834382
Argentina,ARG,-0.09824777368196273,-0.09518409645674951,-0.10196117855878932,-0.11398939985509579,-0.11074279082011218,-0.10394739230229043,-0.11003877216075672,-0.10999506132165059,-0.11200158363530643,-0.10895204999930676,-0.14093072242162008,-0.14012023487951872,-0.14436795671870523,-0.1480828399919626,-0.14617297749683056,-0.1505169184989077,-0.158316606029229,-0.15430853197721392,-0.16218774276456013,-0.1571164695496411,-0.15882286097331696,-0.16525906681403316,-0.16677866225055682,-0.1641466412328181,-0.16617558651862013,-0.17359122879001349,-0.1711493844363207,-0.17245755299438995,-0.1766213607640654,-0.18979250905511716,-0.19417458912665087,-0.18931254046416432,-0.18488233979203655,-0.18073047087103478,-0.17858076353664126,-0.18365597174353473,-0.1830527532884791,-0.18034126410183818,-0.1794912221704169,-0.18502709053333205,-0.18972131089135721,-0.19541250754527656,-0.2055678274170415,-0.20365116555828597,-0.2026190070275383,-0.20120024719697846,-0.20093209931797337,-0.20023326968724198,-0.201047619771877,-0.2073032716847926,-0.20507221504121548,-0.2045871355478093,-0.20881503803882692,-0.21031920988052052,-0.215485485795788,-0.21624741527008734,-0.2206381684175184,-0.22183378332078374,-0.2264864108077547,-0.23000371650529694,-0.23491597529999128,-0.2327738719433767,-0.23249786312871853
